canon_p_smi,experimental_Tg,normalized_monomer_phi,normalized_backbone_phi
*CC=C(C*)C(C)(C)C,293,0.4070092676503112,0.3834999751119962
*CC(*)(C)C(=O)OCCCC,293,0.4434437307949609,0.1306122448979592
*CC(*)(C)C(=O)OCCOC,293,0.4386130575207915,0.1306122448979592
*CC(*)c1ccc(COCCC)cc1,295,0.37688094063855093,0.12980769230769232
*Cc1ccc(C*)c(CC)c1,298,0.29094765387968896,0.23078818206616997
*CC(*)C(F)(F)F,300,0.3259247664240679,0.28125
*CC(*)OC(C)=O,301,0.4463583750169285,0.2721406060606057
*CC(*)CC(C)C,302,0.5625,0.28125
*CC(*)OC=O,304,0.5350504779315749,0.3265687272727268
*CC(*)OC(=O)CCl,304,0.5556342246329109,0.2332633766233763
*CC(*)(C)C(=O)OCC(C)(C)C,306,0.3254987441917402,0.11873840445269018
*CC(*)(C)C(=O)OCCC,308,0.4088342245050243,0.14512471655328799
*NCCCCCCCCCCCC(*)=O,310,0.8024558193879872,0.8024558193879872
*CCC[Si](*)(c1ccc(C)cc1)c1ccc(C)cc1,311,0.24761150583118274,0.16271171167588544
*CC(*)CCC1CCCCC1,313,0.4216102398741475,0.16875
*NCCCCCCNC(=O)CCCCCCCCC(*)=O,313,0.733813228463933,0.733813228463933
*CC(*)C(F)(F)C(F)(F)F,314,0.2822955208156444,0.1875
*NCCCCCCCCCCC(*)=O,315,0.7888770120616934,0.7888770120616934
*CC(*)C(=O)OC(C)(C)C,315,0.3503845597179763,0.1875
*CC(COc1ccccc1)O*,315,0.3466795871956185,0.22725290322580644
*CC(*)(F)C(F)(F)F,315,0.25736387010007494,0.17750021571845312
*NCCCCCCCCCC(*)=O,316,0.7733037851752799,0.7733037851752799
*CC(*)(C)C(=O)OCCC(C)(C)C,318,0.3524216197066013,0.108843537414966
*Oc1cccc(*)c1,318,0.1964049552123823,0.1964049552123823
*NCCCCCCCCCCNC(=O)CCCCCCCCC(*)=O,319,0.7730602479936081,0.7730602479936081
*CC(*)C(=O)NCCCC,319,0.5799449727317815,0.1875
*CC(*)OC(=O)C(F)(F)F,319,0.3270920748168126,0.18142707070707045
*CC(*)c1ccc(OCCCC)cc1,320,0.36349765561120456,0.12980769230769232
*CC(*)(C)C(=O)OCC(C)C,321,0.38427014887602173,0.1306122448979592
*CC(*)C(C)C,323,0.5102040816326532,0.3375
*NCCCCCCCCC(*)=O,324,0.7552650609563103,0.7552650609563103
*CC1CC(*)OC(CCC)O1,324,0.35897118780096376,0.23223698027836864
*NCCCCCCCC(*)=O,324,0.7341301909788867,0.7341301909788867
*CC(*)(C)C(=O)OCC,324,0.37007824912169984,0.163265306122449
*CCOC(=O)c1cccc(C(=O)O*)c1,324,0.2889101911347099,0.2889101911347099
*CCC[Si](*)(c1ccccc1)c1ccc(N(C)C)cc1,325,0.25574869383712356,0.15414793737715463
*CC(*)(C)C(=O)OC(C)C,327,0.3503845597179763,0.14512471655328799
*Cc1ccc(C*)c(C)c1,328,0.2564313134068555,0.2564313134068555
*CC(*)C(=O)C(C)C,329,0.4322528628227341,0.24107142857142858
*CC(*)c1ccc(OCCC(C)C)cc1,330,0.3496068367338091,0.12053571428571429
*CC(*)(C)C(=O)OC(C)CC,330,0.38427014887602173,0.1306122448979592
*NCCCCCCC(*)=O,330,0.7090361070102,0.7090361070102
*NCCCCCCNC(=O)CCCCC(*)=O,330,0.6783545995383937,0.6783545995383937
*CC(*)(Cl)C(=O)OCCCC,330,0.479337394168838,0.1589527746052713
*O[Si](c1ccccc1)(c1ccccc1)c1cccc(*)c1,331,0.18950368311612617,0.11230658434535419
*CC(*)C(F)(F)C(F)(F)C(F)(F)F,331,0.2634845970530846,0.140625
*CC(*)CC1CCCC1,333,0.3510787934749154,0.2109375
*CC(*)Cc1ccccc1,333,0.30011766250769906,0.1875
*Cc1ccc(C*)cc1,333,0.26030145390103354,0.26030145390103354
*NCCCCCC(*)=O,335,0.6787714384171076,0.6787714384171076
*CCOC(=O)c1ccc(C(=O)O*)c2ccccc12,337,0.22085710250695284,0.22085710250695284
*CC(*)c1ccc(OCCC)cc1,343,0.3355168473799646,0.140625
*CC(*)(Cl)C(=O)OCCC,344,0.44661699872517713,0.176614194005857
*CCOC(=O)c1cccc2c(C(=O)O*)cccc12,344,0.22085710250695284,0.22085710250695284
*CC(*)C(C)C=O,345,0.4884992411149114,0.28125
